Prod Count,DEV Count,QA Count,Tableau Tips and Tricks,Count of Apps,Clear Filters,App Documentation,YTD Tickets,LY Tickets,Support Managed By,AppCount,Cluster_,TAO,Number of Records,Sum AM Niche,Sum AM Ticket Based ,Sum BT,Sum TS JJTS ,Am Extract Date (App Inv Ticket2 Sum),Am Extract Date,APPLICATION,Category,Cluster SP,Content Type,Created,Created By,TAO Group,Dv Change Request Current Year Ticket Count,Dv Change Request Prior Year Ticket Count,Dv Cmdb Ci,Dv Incident Current Year Ticket Count,Dv Incident Prior Year Ticket Count,Support Group Manager,TAO Manager,Operational Status,Parent of Support,Dv Problem Current Year Ticket Count,Dv Problem Prior Year Ticket Count,Dv Sc Request Current Year Ticket Count,Dv Sc Request Prior Year Ticket Count,Support Group 1,SLA Active,Business Service ,Dv U Change Manager Tao,User Region,Cluster,Vendor,GxP,BT Company,SLA Rate,Service Level Medal,Status Reason,Support Group 2,Support Group 3,Zcode,Gso,Managing Region,Modified,Modified By,App Name,Rso,Sharepoint Id,Sys Class Name,appl_unique_id,App Alias,App ID,App Lifecycle,COE,Functional Org,ITS Managed,Primary Product Line,GOC,Type,U Unique Ci,Used For,T-Shirt,Version
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,LAWRENCE HECKEL (7287),1,0,1,1,0,00:00.0,4/9/2019 10:09,AVEENOPROFESSIONAL.CO.UK,Service,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,Item,3/7/2019 16:17,"Weston, Anna [VISUS Non-J&J]",CON_EMEA_DIGITAL_BUIT,0,0,AVEENOPROFESSIONAL.CO.UK,0,0,LAWRENCE HECKEL (7287),EGOR NAZAROV (80007863),Deployed,PARENT APP MAINTENANCE,0,0,3,2,AM DISPATCH,TRUE,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,EGOR NAZAROV (80007863),EMEA,"Digital & E-commerce, Social & Collaboration​",TCS,FALSE,Cons Europe Reg Expe,,Silver,Transformed,DIG ECOM SOC COL RR TCS,DIG ECOM SOC COL SPEC TCS,Z999426,"Bolger, Tim [ITSUS]",EMEA,3/18/2019 21:20,"Weston, Anna [VISUS Non-J&J]",AVEENOPROFESSIONAL.CO.UK,"Ruts, Dominique [JANBE]",8763,cmdb_ci_appl,APP0025627,HTTP://AVEENOPROFESSIONAL.CO.UK,APP0025627,Maintain,Marketing OTC,App Svcs,FALSE,Digital and Connected Commerce,Consumer,Website,CI000000000526702,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - CUSTOMER AND SALES,JOSE BRAND (172421),1,0,1,1,0,00:00.0,4/9/2019 10:09,NEOSTRATA -PROD,Service,APP MAINT - CUSTOMER AND SALES,Item,3/7/2019 16:14,"Weston, Anna [VISUS Non-J&J]",NEOSTRATA,0,0,NEOSTRATA -PROD,1,13,JOSE BRAND (172421),KENNETH CRANMER (438044),Deployed,PARENT APP MAINTENANCE,0,1,9,12,AM DISPATCH,TRUE,APP MAINT - CUSTOMER AND SALES,KENNETH CRANMER (438044),NA,Customer & Sales​,COGNIZANT,FALSE,J&J Consumer Prod US,,Silver,Transformed,CUST AND SALES RR COG,CUST AND SALES SPEC COG,Z998617,Not Defined,"""NA""",3/18/2019 21:32,"Weston, Anna [VISUS Non-J&J]",NEOSTRATA -PROD,Not Defined,5388,cmdb_ci_appl,APP000010030038,,APP000010030038,Rising,Sales,,FALSE,Customer and Sales,Consumer,Website,CI000000009173600,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - CUSTOMER AND SALES,JOSE BRAND (172421),1,0,1,1,0,00:00.0,4/9/2019 10:09,NEOSTRATA -PROD,Service,APP MAINT - CUSTOMER AND SALES,Item,3/7/2019 16:14,"Weston, Anna [VISUS Non-J&J]",NEOSTRATA,0,0,NEOSTRATA -PROD,1,13,JOSE BRAND (172421),KENNETH CRANMER (438044),Deployed,PARENT APP MAINTENANCE,0,1,9,12,AM DISPATCH,TRUE,APP MAINT - CUSTOMER AND SALES,KENNETH CRANMER (438044),NA,Customer & Sales​,COGNIZANT,FALSE,J&J Consumer Prod US,,Silver,Transformed,CUST AND SALES RR COG,CUST AND SALES SPEC COG,Z998617,Not Defined,"""NA""",3/18/2019 21:32,"Weston, Anna [VISUS Non-J&J]",NEOSTRATA -PROD,Not Defined,5387,cmdb_ci_appl,APP000010030038,,APP000010030038,Rising,Sales,,FALSE,Customer and Sales,Consumer,Website,CI000000003884909,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - ERP,REGINALDO HIDEKI TABUCHI (75161806),1,0,1,1,0,00:00.0,4/9/2019 10:09,CONSUMER LATIN AMERICA-SCM-PROD-PAP,Service,APP MAINT - ERP,Item,3/7/2019 16:14,"Weston, Anna [VISUS Non-J&J]",LA CONSUMER SC PLAN APPS,0,0,CONSUMER LATIN AMERICA-SCM-PROD-PAP,2,1,REGINALDO HIDEKI TABUCHI (75161806),LEILA SOUTO DE ASSIS (75591782),Deployed,PARENT APP MAINTENANCE,0,0,147,0,ERP RR IBM - PROJECT ONE CON,TRUE,APP MAINT - ERP,LEILA SOUTO DE ASSIS (75591782),LATAM,"ERP- Plan, Source, Make, Deliver ​",IBM,FALSE,J&J Brazil,,Gold,,ERP RR IBM - PROJECT ONE CON,ERP SPEC IBM - PROJECT ONE CON,Z999357,"Cunha, Erika J. [ITAS LatAm]",LATAM,3/18/2019 21:21,"Weston, Anna [VISUS Non-J&J]",CONSUMER LATIN AMERICA-SCM-PROD-PAP,Not Defined,5786,cmdb_ci_appl,APP000010007265,,APP000010007265,,Consumer,,FALSE,Plan,Supply Chain,Server,CI000000009036458,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,LAWRENCE HECKEL (7287),1,0,1,1,0,00:00.0,4/9/2019 10:09,IMODIUM - ITALY,Service,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,Item,3/7/2019 16:16,"Weston, Anna [VISUS Non-J&J]",CON_EMEA_DIGITAL_BUIT,0,0,IMODIUM - ITALY,0,0,LAWRENCE HECKEL (7287),EGOR NAZAROV (80007863),Deployed,PARENT APP MAINTENANCE,0,0,2,0,AM DISPATCH,TRUE,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,EGOR NAZAROV (80007863),EMEA,"Digital & E-commerce, Social & Collaboration​",TCS,FALSE,Cons Europe Reg Expe,,Silver,Transformed,DIG ECOM SOC COL RR TCS,DIG ECOM SOC COL SPEC TCS,Z999426,"Bolger, Tim [ITSUS]",EMEA,3/18/2019 21:29,"Weston, Anna [VISUS Non-J&J]",IMODIUM - ITALY,"Ruts, Dominique [JANBE]",7885,cmdb_ci_appl,APP0025575,HTTP://IMODIUMWEB.IT/,APP0025575,Maintain,Marketing OTC,App Svcs,FALSE,Digital and Connected Commerce,Consumer,Website,CI000000009325087,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Niche,1,0,ELLEN JANE (62003507),1,1,0,1,0,00:00.0,4/9/2019 10:09,GMED-SCM-SEC-PROD-P28,Service,0,Item,3/7/2019 16:13,"Weston, Anna [VISUS Non-J&J]",BCA SAP EUROPE2,0,0,GMED-SCM-SEC-PROD-P28,4,0,ELLEN JANE (62003507),BART WILLEMS (10012587),Deployed,PARENT APP SERVICES SUPPORT,0,0,2,0,ITAS-SAP-EMEA-TCS-INTERNAL-L1,,,BART WILLEMS (10012587),EMEA,,,FALSE,GMED,,,Transformed,ITAS-SAP-EMEA-TCS-SECURITY-L2,,Z999008,"Bolger, Tim [ITSUS]",Not Defined,3/18/2019 21:21,"Weston, Anna [VISUS Non-J&J]",GMED-SCM-SEC-PROD-P28,Not Defined,4355,cmdb_ci_appl,APP000010033557,,APP000010033557,Core Rising,CLS,,FALSE,ERP,Supply Chain,Server,CI000000008887328,Production,,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Niche,1,0,LAWRENCE HECKEL (7287),1,1,0,1,0,00:00.0,4/9/2019 10:09,RSV WATCH-PROD,Service,0,Item,3/7/2019 16:12,"Weston, Anna [VISUS Non-J&J]",AS-NA-DIGITAL-PHARMA,0,0,RSV WATCH-PROD,0,0,LAWRENCE HECKEL (7287),AISHA BAKARE (1023435),Deployed,PARENT APP SERVICES SUPPORT,0,0,0,1,GLOBAL SERVICE DESK,,,AISHA BAKARE (1023435),"NA, LATAM",,,TRUE,Janssen Belgium,,,Transformed,ITAS-DIG-NA-TCS-MOBILE-L2,ITAS-DIG-NA-TCS-MOBILE-L3,Z999994,"Bolger, Tim [ITSUS]",Not Defined,3/18/2019 21:50,"Weston, Anna [VISUS Non-J&J]",RSV WATCH-PROD,Not Defined,3280,cmdb_ci_appl,APP000010025645,RSV WATCH,APP000010025645,Maintain,R&D Research Discovery Sciences,App Svcs,FALSE,Product Line Not Applicable,Pharma,Mobile Application,CI000000000209892,Production,,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DATA AND ANALYTICS,SATISH MURTHY DODDAMALUR SATHYANARAYANA (1039440),1,0,1,1,0,00:00.0,4/9/2019 10:09,HCS MDM-INFORMATICA MDM PROD,Service,APP MAINT - DATA AND ANALYTICS,Item,3/7/2019 16:08,"Weston, Anna [VISUS Non-J&J]",HCS MDM,1,0,HCS MDM-INFORMATICA MDM PROD,97,140,SATISH MURTHY DODDAMALUR SATHYANARAYANA (1039440),WILLIAM HOERNLEIN JR (2382),Deployed,PARENT APP MAINTENANCE,2,4,920,1221,AM DISPATCH,TRUE,APP MAINT - DATA AND ANALYTICS,LEONARD HUNT (2655),NA,Data & Analytics​,L&T,TRUE,J&J HCS USA,,Silver,Transformed,DATA AND ANALYTICS RR LTI,DATA AND ANALYTICS SPEC LTI,Z999932,"Bolger, Tim [ITSUS]","""NA""",3/18/2019 21:29,"Weston, Anna [VISUS Non-J&J]",HCS MDM-INFORMATICA MDM PROD,"Doddamalur sathyanarayana, Satish murthy [HCSUS]",103,cmdb_ci_appl,APP0009233,https://itsusralsp04709.jnj.com:7004/MDMWeb ,APP0009233,Maintain,Commercial,App Svcs,TRUE,Data and Analytics,Hospital Medical Devices,Server,CI000000002543600,Production,Large,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,LAWRENCE HECKEL (7287),1,0,1,1,0,00:00.0,4/9/2019 10:09,NICORETTE IT,Service,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,Item,3/7/2019 16:10,"Weston, Anna [VISUS Non-J&J]",CON_EMEA_DIGITAL_BUIT,0,0,NICORETTE IT,0,0,LAWRENCE HECKEL (7287),EGOR NAZAROV (80007863),Deployed,PARENT APP MAINTENANCE,0,0,3,1,AM DISPATCH,TRUE,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,EGOR NAZAROV (80007863),EMEA,"Digital & E-commerce, Social & Collaboration​",TCS,FALSE,Cons Europe Reg Expe,,Silver,Transformed,DIG ECOM SOC COL RR TCS,DIG ECOM SOC COL SPEC TCS,Z999426,"Bolger, Tim [ITSUS]",EMEA,3/18/2019 21:34,"Weston, Anna [VISUS Non-J&J]",NICORETTE IT,"Ruts, Dominique [JANBE]",1723,cmdb_ci_appl,APP000010031208,https://www.nicorette.it,APP000010031208,Maintaining,Site Ownership,App Svcs,FALSE,Digital and Connected Commerce,Consumer,Website,CI000000000519034,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Niche,1,0,CHARLES YRIBARREN (118420),1,1,0,1,0,00:00.0,4/9/2019 10:09,JDE LIFESCAN - CITRIX-PROD,Service,0,Item,3/7/2019 16:12,"Weston, Anna [VISUS Non-J&J]",JDE LIFESCAN,0,0,JDE LIFESCAN - CITRIX-PROD,6,29,CHARLES YRIBARREN (118420),CHARLES YRIBARREN (118420),Deployed,PARENT APP SERVICES SUPPORT,0,0,11,82,GLOBAL SERVICE DESK,,,,"NA, EMEA",,,FALSE,US Diabetes Care,,,Transformed,JDE APP DCF L2,JDE APP DCF L3,Z998957,Not Defined,"""NA""",3/18/2019 21:31,"Weston, Anna [VISUS Non-J&J]",JDE LIFESCAN - CITRIX-PROD,Not Defined,3756,cmdb_ci_appl,APP0009017,"JDE,Citrix",APP0009017,Maintain,CMD,App Svcs,FALSE,ERP,Supply Chain,Server,CI000000009492294,Production,,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - CBT,LAKSHMI NARAYANAN (167821),1,0,1,1,0,00:00.0,4/9/2019 10:09,BEA - VISITORS ANNOUNCEMENT SYSTEM - PROD,Service,APP MAINT - CBT,Item,3/7/2019 16:09,"Weston, Anna [VISUS Non-J&J]",SECURITY MANAGEMENT - BELGIUM,0,0,BEA - VISITORS ANNOUNCEMENT SYSTEM - PROD,1,20,LAKSHMI NARAYANAN (167821),PATRICK OOMS (10015174),Deployed,PARENT APP MAINTENANCE,0,0,0,2,AM DISPATCH,TRUE,APP MAINT - CBT,,EMEA,Corporate-BT (Corporate-Business Technology),COGNIZANT,FALSE,Janssen Belgium,,Bronze,Transformed,CBT RR COG,CBT SPEC COG,Z999993,"Casteleyn, Peter [JANBE]",EMEA,3/21/2019 13:40,"Woo, Tammy [GTSUS NON-J&J]",BEA - VISITORS ANNOUNCEMENT SYSTEM - PROD,"Bedi, Tejinder Singh [JANBE]",505,cmdb_ci_appl,APP0010111,BEA - Bezoekers aanmeldingssysteem / Visitors Announcement System - http://bea.janbe.eu.jnj.com,APP0010111,Maintain,WWETO,App Svcs,FALSE,EMEA,Corporate,Server,CI000000005670899,Production,Small,1
